pair	class	pdf	printed	scene	canonical_path	canonical_line	scene_path	scene_line	canonical_text	scene_text
51	bracket-parenthesis	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	140	works/tirumbippaar/scenes/scene-05.md	6	[கட்டப்பட்ட பார்சல்கள், புக் போஸ்டுகள்மீது பதிப்பகத்தின் ரப்பர் ஸ்டாம்பு குத்தப்படும் சப்தம் டக் டக் என்று கேட்டபடி இருக்கிறது]	(கட்டப்பட்ட பார்சல்கள், புக்போஸ்டுகள் மீது பதிப்பகத்தின் ரப்பர் ஸ்டாம்பு குத்தப்படும் சப்தம் டக் டக் என்று கேட்டபடி இருக்கிறது]
52	bracket-parenthesis	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	142	works/tirumbippaar/scenes/scene-05.md	7	கருடன்: (ஆபீஸ் பையனிடம்) பையா...உம்...பார்சலுக்கு நேரமாச்சு புறப்படு...புறப்படு. பாக்கி நாளைக்கு அனுப்பலாம்.	கருடன்: (ஆபீஸ் பையனிடம் பையா... உம்... பார்சலுக்கு நேரமாச்சு புறப்படு... புறப்படு. பாக்கி நாளைக்கு அனுப்பலாம்.
53	quote-dash-glyph	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	144	works/tirumbippaar/scenes/scene-05.md	8	(‘டக் டக்’ என்று தட்டும் சப்தம்)	(‘டக் டக்' என்று தட்டும் சப்தம்)
54	whitespace-only	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	146	works/tirumbippaar/scenes/scene-05.md	9	கருடன்: யாரு? உள்ளே வாருங்க.	கருடன் : யாரு? உள்ளே வாருங்க.
56	bracket-parenthesis	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	150	works/tirumbippaar/scenes/scene-05.md	11	கருடன்: யாரு...எங்கேயோ பாத்தமாதிரி...(சந்தேகமாய்)	கருடன் : யாரு... எங்கேயோ பாத்தமாதிரி .... (சந்தேகமாய்)
57	bracket-parenthesis	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	152	works/tirumbippaar/scenes/scene-05.md	12	பாண்டியன்: (கோபமாய்) மறந்திருப்பீர். நான்தான் பாண்டியன். ஞாபகமிருக்கிறதா? (தன் கையிலுள்ள நூலைக் காட்டி) இந்தப் புத்தகத்தின் உண்மையான ஆசிரியர்......	பாண்டியன்: (கோபமாய்) மறந்திருப்பீர். நான்தான் பாண்டியன். ஞாபகமிருக்கிறதா? (தன் கையிலுள்ள நூலைக் காட்டி) இந்தப் புத்தகத்தின் உண்மையான ஆசிரியர்
58	ellipsis-punct-count	13	5	5	works/tirumbippaar/transcription/parts/part-01-pdf-9-13.md	154	works/tirumbippaar/scenes/scene-05.md	13	கருடன்: சே சே...இதற்கு ஆசிரியர் பரந்தாமன் என்று அட்டையிலே போட்டிருக்கிறதே!	கருடன் : சே சே.. இதற்கு ஆசிரியர் பரந்தாமன் என்று அட்டையிலே போட்டிருக்கிறதே !
95	bracket-parenthesis	16	8	6	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	58	works/tirumbippaar/scenes/scene-06.md	20	பரந்தாமன் : பாமா! கண்ணே/ (நெருங்கல்)	பரந்தாமன் : பாமா! கண்ணே! (நெருங்கல்)
103	ellipsis-punct-count	17	9	7	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	74	works/tirumbippaar/scenes/scene-07.md	14	குமுதா: பரீட்சை சின்னம்மா. உடனே வரமுடியிலே	குமுதா: பரீட்சை சின்னம்மா. உடனே வரமுடியிலே...
104	whitespace-only	17	9	7	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	75	works/tirumbippaar/scenes/scene-07.md	16	பூமாலை : உட்காரு குமுதா. தம்பிக்கு உன்னை கல்யாணம் செஞ்சு வச்சு வீட்டோட இருப்பேன்னு நெனச்சேன் ...	பூமாலை: உட்காரு குமுதா. தம்பிக்கு உன்னை கல்யாணம் செஞ்சு வச்சு வீட்டோட இருப்பேன்னு நெனச்சேன்...
108	whitespace-only	17	9	7	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	79	works/tirumbippaar/scenes/scene-07.md	24	பரந்தாமன் : அடடே ! குமுதா தேவி எப்போது வந்தார்கள்?	பரந்தாமன்: அடடே! குமுதா தேவி எப்போது வந்தார்கள்?
112	whitespace-only	18	10	7	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	86	works/tirumbippaar/scenes/scene-07.md	34	குமுதா: கல்யாண உற்சாகத்திலே மாமாவுக்கு கவிதைகளால்ல ஊறுது !	குமுதா: கல்யாண உற்சாகத்திலே மாமாவுக்கு கவிதைகளால்ல ஊறுது!
113	whitespace-only	18	10	7	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	87	works/tirumbippaar/scenes/scene-07.md	36	குண்டுமணி: அதுவும் கலர் கவிதைகளால்ல ஊறுது ! (சிரிப்பு)	குண்டுமணி: அதுவும் கலர் கவிதைகளால்ல ஊறுது! (சிரிப்பு)
115	ellipsis-punct-count	18	10	8	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	95	works/tirumbippaar/scenes/scene-08.md	10	புரோகிதர்: எங்கே மாப்பிள்ளை - முகூர்த்தநேரம் தவறிடும் - சீக்கிரம்- சீக்கிரம் ..	புரோகிதர்: எங்கே மாப்பிள்ளை—முகூர்த்தநேரம் தவறிடும்—சீக்கிரம்—சீக்கிரம்...
116	whitespace-only	18	10	8	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	96	works/tirumbippaar/scenes/scene-08.md	12	குமுதா: சின்னம்மா ! மாமாவைக் காணும்.	குமுதா: சின்னம்மா! மாமாவைக் காணும்.
117	whitespace-only	18	10	8	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	97	works/tirumbippaar/scenes/scene-08.md	14	பூமாலை : ஆ ! காணுமா.	பூமாலை: ஆ! காணுமா.
118	whitespace-only	18	10	8	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	98	works/tirumbippaar/scenes/scene-08.md	16	(மாப்பிள்ளையைக் காணும் ரகளை )	(மாப்பிள்ளையைக் காணும் ரகளை)
119	bracket-parenthesis	18	10	9	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	104	works/tirumbippaar/scenes/scene-09.md	6	(மாடியில் தேடி அலுத்து பிரமைபிடித்தவள்போலிருக்கும் பூமாலையிடம் குமுதா ஓடிவருகிறாள்]	[மாடியில் தேடி அலுத்து பிரமைபிடித்தவள்போலிருக்கும் பூமாலையிடம் குமுதா ஓடிவருகிறாள்]
120	whitespace-only	18	10	9	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	105	works/tirumbippaar/scenes/scene-09.md	8	பூமாலை: குமுதா !	பூமாலை: குமுதா!
123	bracket-parenthesis	18	10	10	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	112	works/tirumbippaar/scenes/scene-10.md	6	(பாமாவின் கண்ணிலிருந்து நீர் வழிகிறது. வழிந்த நீர் கையில் விழுகிறது. கையில் விழுந்த நீர் அருவியாக மாறுகிறது, அருவி ஆறாகப் போகிறது.]	[பாமாவின் கண்ணிலிருந்து நீர் வழிகிறது. வழிந்த நீர் கையில் விழுகிறது. கையில் விழுந்த நீர் அருவியாக மாறுகிறது. அருவி ஆறாகப் போகிறது.]
124	bracket-parenthesis	19	11	11	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	119	works/tirumbippaar/scenes/scene-11.md	6	(படகொன்று போய்க் கொண்டிருக்கிறது. படகில் பரந்தாமனும், வேறு ஒரு பெண்ணும் பாடிக்கொண்டு போகிறார்கள்.)	[படகொன்று போய்க் கொண்டிருக்கிறது. படகில் பரந்தாமனும், வேறு ஒரு பெண்ணும் பாடிக் கொண்டு போகிறார்கள்.]
185	whitespace-only	24	16	16	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	220	works/tirumbippaar/scenes/scene-16.md	8	கருடன் : சிங்க நல்லூர் சிவசக்தி மில்ஸ் மேஸ்திரி புண்யகோடியின் மகன் எழுத்தாளர் பாண்டியனுக்கும், கோவை மெர்ச்சண்ட் குணரத்னம் திருச் செல்வி பாமாவுக்கும் திருமண விழா மணமகள் இல்லத்தில் சிறப்பாக நடைபெறும். தங்கள் சுற்றமும்.....	கருடன்: சிங்க நல்லூர் சிவசக்தி மில்ஸ் மேஸ்திரி புண்யகோடியின் மகன் எழுத்தாளர் பாண்டியனுக்கும், கோவை மெர்ச்சண்ட் குணரத்னம் திருச் செல்வி பாமாவுக்கும் திருமண விழா மணமகள் இல்லத்தில் சிறப்பாக நடைபெறும். தங்கள் சுற்றமும்.....
